VariantID,Country,first_seq,last_seq,variant,total_cases,total_deaths
183,Kenya,6/9/2020,9/23/2021,S.N501,23747.35244,483.7201699
184,Seychelles,6/25/2020,6/8/2021,S.N501,274.0640704,0.923366834
185,Senegal,6/26/2020,8/6/2021,S.N501,3093.10532,68.02497286
186,Laos,7/7/2020,7/7/2020,S.N501,0.863636364,0
187,Côte d'Ivoire,7/15/2020,4/28/2021,S.N501,5306.486322,33.03343465
188,Nigeria,7/16/2020,9/16/2021,S.N501,5240.941693,69.05750799
189,China,7/28/2020,6/15/2021,S.N501,180616.4131,7749.635992
190,Egypt,7/28/2020,5/10/2021,S.N501,14466.45309,847.2723112
191,Indonesia,8/6/2020,11/7/2021,S.N501,26877.59402,908.1907678
192,South Africa,8/17/2020,11/25/2021,S.N501,265221.6391,8064.08527
193,Peru,8/19/2020,11/5/2021,S.N501,158723.4792,14420.35892
194,Gambia,8/21/2020,5/20/2021,S.N501,238.1512805,6.983323407
195,Mozambique,8/22/2020,7/9/2021,S.N501,10608.7677,116.4825449
196,Russia,8/23/2020,9/29/2021,S.N501,167299.091,4596.444095
197,Angola,8/25/2020,7/29/2021,S.N501,7536.045362,177.909276
198,United Arab Emirates,8/28/2020,4/27/2021,S.N501,76025.18053,233.1322057
199,Zimbabwe,9/1/2020,7/26/2021,S.N501,13063.31956,414.7313791
200,Germany,9/21/2020,11/27/2021,S.N501,588702.417,10377.08232
201,Greece,9/24/2020,11/11/2021,S.N501,96514.58251,1960.917968
202,Serbia,9/28/2020,7/13/2021,S.N501,82184.27246,810.1507246
203,Jordan,10/5/2020,11/1/2021,S.N501,75762.45135,968.3871625
204,Sudan,10/6/2020,7/3/2021,S.N501,3734.966038,281.2075472
205,France,10/7/2020,11/22/2021,S.N501,7473670.231,118737.1514
206,Pakistan,10/10/2020,10/15/2021,S.N501,88335.23556,1974.929313
207,Romania,10/11/2020,11/5/2021,S.N501,117018.9669,3460.890609
208,Iran,10/14/2020,7/19/2021,S.N501,487547.1712,12004.08559
209,India,10/14/2020,10/31/2021,S.N501,716130.4092,9575.408547
210,Slovenia,10/17/2020,8/17/2021,S.N501,20802.81738,352.2440048
211,Switzerland,10/23/2020,11/10/2021,S.N501,68687.50247,861.6919391
212,Denmark,10/26/2020,10/25/2021,S.N501,93870.5313,666.8954276
213,Ireland,10/28/2020,9/8/2021,S.N501,36499.49145,521.2667393
214,Portugal,11/9/2020,11/27/2021,S.N501,81239.84107,1311.814491
215,Uganda,11/9/2020,6/15/2021,S.N501,1332.185826,9.477120536
216,Austria,11/10/2020,11/28/2021,S.N501,102490.632,1110.533393
217,Eswatini,11/13/2020,7/9/2021,S.N501,1528.587822,53.01639344
218,Georgia,11/14/2020,8/9/2021,S.N501,28275.69095,384.9246231
219,Saudi Arabia,11/15/2020,6/11/2021,S.N501,198729.8571,3230.142857
220,Iceland,11/21/2020,7/31/2021,S.N501,202.2736976,0.762433839
221,Botswana,11/21/2020,11/23/2021,S.N501,11526.054,143.0601611
222,Malawi,11/25/2020,6/21/2021,S.N501,3705.28214,124.2735116
223,Japan,11/29/2020,10/5/2021,S.N501,161040.2869,1675.274562
224,Belgium,11/30/2020,11/24/2021,S.N501,155029.6576,2499.032946
225,Slovakia,11/30/2020,10/27/2021,S.N501,84365.84717,1249.552228
226,Malaysia,12/1/2020,11/5/2021,S.N501,49973.1596,584.3657788
227,Zambia,12/1/2020,9/2/2021,S.N501,19889.49874,347.1677582
228,Thailand,12/5/2020,10/18/2021,S.N501,143872.5444,1470.637377
229,Mauritius,12/6/2020,6/24/2021,S.N501,10.10958904,0.098630137
230,Argentina,12/7/2020,11/15/2021,S.N501,677303.7922,14835.91613
231,Singapore,12/8/2020,7/10/2021,S.N501,969.0232668,0.55651901
232,Norway,12/9/2020,10/8/2021,S.N501,20903.0832,94.30825296
233,Turkey,12/9/2020,11/10/2021,S.N501,365297.9832,3194.294393
234,Philippines,12/10/2020,8/30/2021,S.N501,248707.1607,4194.616576
235,Albania,12/10/2020,7/13/2021,S.N501,18400.15311,340.784689
236,Ghana,12/10/2020,5/21/2021,S.N501,6084.381506,50.94118668
237,Barbados,12/12/2020,7/25/2021,S.N501,634.6629213,7.011235955
238,Bulgaria,12/13/2020,9/30/2021,S.N501,47970.79192,1994.826524
239,South Korea,12/14/2020,9/21/2021,S.N501,5982.200429,49.73123116
240,Dominica,12/16/2020,4/1/2021,S.N501,28.27586207,0
241,Lesotho,12/16/2020,1/18/2021,S.N501,1210,17.4137931
242,Israel,12/16/2020,11/24/2021,S.N501,117253.6969,715.1662777
243,Burkina Faso,12/16/2020,4/30/2021,S.N501,987.516129,11.6483871
244,Rwanda,12/17/2020,8/1/2021,S.N501,2631.075599,30.27658267
245,Saint Lucia,12/17/2020,7/26/2021,S.N501,890.92891,14.18009479
246,Finland,12/18/2020,9/10/2021,S.N501,13053.10536,105.3705311
247,New Zealand,12/19/2020,11/21/2021,S.N501,334.4120552,1.314383631
248,Ethiopia,12/19/2020,7/20/2021,S.N501,10645.79593,166.9984363
249,Jamaica,12/21/2020,7/24/2021,S.N501,7821.814667,176.7573333
250,Togo,12/21/2020,4/26/2021,S.N501,555.5390565,5.28383604
251,Oman,12/22/2020,7/6/2021,S.N501,27927.00085,334.751062
252,Poland,12/22/2020,11/10/2021,S.N501,380728.7024,9476.662546
253,Qatar,12/22/2020,6/7/2021,S.N501,14401.96823,37.45335846
254,Maldives,12/23/2020,4/25/2021,S.N501,201.7114428,0.513794663
255,Estonia,12/23/2020,7/28/2021,S.N501,14571.46227,139.3648069
256,Luxembourg,12/24/2020,8/12/2021,S.N501,7849.598748,87.08321369
257,Bosnia and Herzegovina,12/25/2020,7/5/2021,S.N501,11809.76242,556.774658
258,Taiwan,12/26/2020,7/28/2021,S.N501,2196.958242,110.6989011
259,Dominican Republic,12/27/2020,10/15/2021,S.N501,41356.67925,457.7121294
260,Iraq,12/27/2020,7/6/2021,S.N501,170197.2154,2130.157618
261,Mali,12/27/2020,7/31/2021,S.N501,203.4976744,7.423255814
262,Gabon,12/28/2020,9/30/2021,S.N501,2413.98294,14.88976378
263,Cyprus,12/28/2020,1/27/2021,S.N501,1306.765957,8.127659574
264,Lebanon,12/29/2020,7/14/2021,S.N501,58438.20826,838.9344435
265,Bangladesh,12/31/2020,10/31/2021,S.N501,95916.27222,1703.044444
266,Kosovo,12/31/2020,7/29/2021,S.N501,1190.012627,24.95437882
267,Kuwait,12/31/2020,7/1/2021,S.N501,10782.28571,59.51879699
268,Palestine,12/31/2020,4/9/2021,S.N501,74030.6,787.36
269,Cabo Verde,1/1/2021,2/3/2021,S.N501,2030.571429,19.28571429
270,Venezuela,1/1/2021,7/3/2021,S.N501,41607.84946,477.655914
271,Sri Lanka,1/2/2021,10/9/2021,S.N501,30175.92331,763.26292
272,North Macedonia,1/4/2021,7/13/2021,S.N501,21719.93255,764.8246403
273,Guinea-Bissau,1/4/2021,2/5/2021,S.N501,449.5841584,7.514851485
